,argu,loss_fun,class_weight,nl,opt,epochs,error
0,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",SGD,100.0,591.8846462085336
1,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",SGD,200.0,566.1500008191235
2,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",SGD,300.0,496.044002404745
3,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",Adam,100.0,410.3035469416123
4,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",Adam,200.0,336.87775902462784
5,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",Adam,300.0,257.44272719264137
6,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",RMSprop,100.0,324.75338096096704
7,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",RMSprop,200.0,243.75317256114786
8,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[30, 10]",RMSprop,300.0,287.49222758838397
9,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",SGD,100.0,671.6632406032312
10,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",SGD,200.0,554.1851424599212
11,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",SGD,300.0,518.7541592039285
12,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",Adam,100.0,289.67588951452075
13,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",Adam,200.0,330.54560116833306
14,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",Adam,300.0,234.38882090970702
15,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",RMSprop,100.0,330.9286389899076
16,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",RMSprop,200.0,302.9668015498582
17,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[50, 30, 10]",RMSprop,300.0,203.0700096238837
18,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",SGD,100.0,470.44332036832833
19,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",SGD,200.0,546.779809549457
20,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",SGD,300.0,611.6130033580915
21,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",Adam,100.0,332.8332940112187
22,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",Adam,200.0,255.97953644673763
23,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",Adam,300.0,338.288886677145
24,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,100.0,232.47531897484043
25,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,200.0,190.7176323258407
26,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,300.0,233.16188725878965
27,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",SGD,100.0,540.3183765573225
28,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",SGD,200.0,536.2658837785453
29,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",SGD,300.0,533.4041585402442
30,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",Adam,100.0,246.92985713335494
31,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",Adam,200.0,268.48314211638336
32,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",Adam,300.0,371.90164419889953
33,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,100.0,246.1906969954824
34,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,200.0,245.14597858099737
35,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,300.0,277.2757880606716
36,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",SGD,100.0,391.12515171573386
37,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",SGD,200.0,496.02146590539746
38,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",SGD,300.0,469.3118544540217
39,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",Adam,100.0,404.96534203838337
40,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",Adam,200.0,274.94505924956684
41,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",Adam,300.0,281.090605271268
42,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",RMSprop,100.0,355.8592399748697
43,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",RMSprop,200.0,256.7797470980457
44,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[80, 30, 10]",RMSprop,300.0,275.1054309759317
45,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,100.0,647.375540200508
46,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,200.0,538.2145893100663
47,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",SGD,300.0,375.23363980677556
48,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,100.0,392.35298159811117
49,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,200.0,250.73896204429505
50,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",Adam,300.0,267.0673660623808
51,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,100.0,270.32733398032343
52,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,200.0,221.65281770097428
