,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,2.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-4.91373574058054,0.045454545454545456,0.045454545454545456
1,2.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,300.0,-0.9315925567169793,0.11363636363636363,0.11363636363636363
2,2.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,-3.7917996408523726,0.09090909090909091,0.09090909090909091
3,2.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,-2.1202400617572983,0.18181818181818182,0.1590909090909091
4,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,0.15138911128828214,0.2727272727272727,0.2727272727272727
5,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,0.6356386325836422,0.4318181818181818,0.38636363636363635
6,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.22138927182448498,0.20454545454545456,0.20454545454545456
7,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.49687488128523793,0.2727272727272727,0.2727272727272727
8,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.5177837385093929,0.3181818181818182,0.25
9,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.18422369443138237,0.3409090909090909,0.3181818181818182
10,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.5847241219535984,0.4090909090909091,0.36363636363636365
11,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.3229787061886862,0.3409090909090909,0.3181818181818182
12,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,-0.2431859183888505,0.25,0.22727272727272727
13,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,-0.10459346354810961,0.18181818181818182,0.1590909090909091
14,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.11057627821984983,0.1590909090909091,0.09090909090909091
15,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.41668140448007845,0.25,0.20454545454545456
16,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,150.0,-0.3384378427516145,0.20454545454545456,0.18181818181818182
17,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,300.0,0.06523750341109086,0.2727272727272727,0.22727272727272727
18,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,-0.6896845108317368,0.22727272727272727,0.22727272727272727
19,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,-1.0647931130738684,0.18181818181818182,0.1590909090909091
20,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,-0.07720242686034051,0.2727272727272727,0.20454545454545456
21,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,0.17049598565050655,0.3409090909090909,0.3181818181818182
22,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.33228149927972284,0.22727272727272727,0.20454545454545456
23,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.6746853843882874,0.36363636363636365,0.3181818181818182
24,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,150.0,-0.896086270460459,0.1590909090909091,0.1590909090909091
25,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,300.0,0.24861832214722607,0.25,0.22727272727272727
26,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,-0.803151313631946,0.20454545454545456,0.18181818181818182
27,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.481058298944287,0.3409090909090909,0.29545454545454547
28,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,150.0,-0.3808570604669934,0.13636363636363635,0.11363636363636363
29,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,300.0,-0.06135474894162468,0.18181818181818182,0.18181818181818182
30,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,-0.4804327682283043,0.20454545454545456,0.20454545454545456
31,2.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,0.3701616335161868,0.36363636363636365,0.2727272727272727
32,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,0.42575905036381506,0.3181818181818182,0.25
33,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,0.19642558719892267,0.22727272727272727,0.1590909090909091
34,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.441644308591299,0.4090909090909091,0.36363636363636365
35,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.711645148900155,0.38636363636363635,0.3181818181818182
36,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,150.0,0.34493216260459064,0.3181818181818182,0.25
37,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.04535101999183899,0.22727272727272727,0.20454545454545456
38,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.5515708182298504,0.38636363636363635,0.36363636363636365
39,2.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.5305276415600226,0.2727272727272727,0.22727272727272727
