,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,3.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,150.0,0.1666586414438983,0.18181818181818182,0.13636363636363635
1,3.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,300.0,-3.8312929273162086,0.11363636363636363,0.045454545454545456
2,3.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,0.07317635638757342,0.25,0.25
3,3.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,0.02924375262638229,0.20454545454545456,0.18181818181818182
4,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,-0.4838628433864819,0.20454545454545456,0.1590909090909091
5,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,-0.23907499327616177,0.1590909090909091,0.13636363636363635
6,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.2966060644030849,0.18181818181818182,0.1590909090909091
7,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.23728744285297237,0.20454545454545456,0.1590909090909091
8,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,-3.134212366224565,0.11363636363636363,0.11363636363636363
9,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,-0.17848962349952635,0.13636363636363635,0.13636363636363635
10,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.21438256190246885,0.22727272727272727,0.20454545454545456
11,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.531285959302356,0.29545454545454547,0.29545454545454547
12,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,-0.7586777036189107,0.09090909090909091,0.06818181818181818
13,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.14244800761643817,0.25,0.25
14,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.02149730827604357,0.29545454545454547,0.29545454545454547
15,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.0394150901267048,0.25,0.25
16,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,150.0,-1.149818263452482,0.06818181818181818,0.045454545454545456
17,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,300.0,-0.5531644457994445,0.20454545454545456,0.18181818181818182
18,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,0.17644250006497725,0.29545454545454547,0.2727272727272727
19,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,-1.0422645851148222,0.13636363636363635,0.13636363636363635
20,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,-1.7434182016511333,0.18181818181818182,0.1590909090909091
21,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,-0.516156199728199,0.20454545454545456,0.1590909090909091
22,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,-1.27468733167058,0.20454545454545456,0.13636363636363635
23,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,-0.5337074054482805,0.13636363636363635,0.13636363636363635
24,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,150.0,-0.43050694657046495,0.25,0.18181818181818182
25,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,300.0,-0.4644415671921761,0.2727272727272727,0.2727272727272727
26,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,-0.2763013514656406,0.29545454545454547,0.1590909090909091
27,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.14450282960162508,0.18181818181818182,0.1590909090909091
28,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,150.0,0.32989589490538473,0.29545454545454547,0.25
29,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,300.0,-0.578077632826529,0.25,0.18181818181818182
30,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,-0.02734984245555555,0.29545454545454547,0.22727272727272727
31,3.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,0.18680151743269002,0.25,0.18181818181818182
32,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,0.25921161018219474,0.25,0.22727272727272727
33,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,-0.2434718203318439,0.2727272727272727,0.20454545454545456
34,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.10597361780038461,0.18181818181818182,0.13636363636363635
35,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,-0.500327565571507,0.20454545454545456,0.1590909090909091
36,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,150.0,-0.7274189485928623,0.18181818181818182,0.18181818181818182
37,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.4024986521442631,0.4090909090909091,0.36363636363636365
38,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.42052826731555354,0.36363636363636365,0.29545454545454547
39,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.4462768929289342,0.38636363636363635,0.2727272727272727
40,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.10176360676132806,0.3409090909090909,0.2727272727272727
41,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,300.0,-0.48638165124792754,0.22727272727272727,0.20454545454545456
42,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,-0.6157305836842656,0.22727272727272727,0.20454545454545456
43,3.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,-0.5372726154210893,0.3181818181818182,0.2727272727272727
44,3.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,150.0,-2.740627202045288,0.045454545454545456,0.045454545454545456
45,3.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,300.0,-4.602555588450555,0.11363636363636363,0.11363636363636363
46,3.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,-0.7110381419547744,0.13636363636363635,0.11363636363636363
47,3.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,-0.3202812948099665,0.20454545454545456,0.18181818181818182
48,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,-1.8798701919379726,0.11363636363636363,0.09090909090909091
49,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,-1.0253134827109671,0.1590909090909091,0.13636363636363635
50,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,-3.1252106252303262,0.11363636363636363,0.11363636363636363
51,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,-0.45234456205089824,0.13636363636363635,0.11363636363636363
52,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,-2.2005081073837824,0.1590909090909091,0.1590909090909091
53,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,-0.9122171301906227,0.20454545454545456,0.06818181818181818
54,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.23565058102656433,0.06818181818181818,0.06818181818181818
55,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.5950339088078485,0.36363636363636365,0.29545454545454547
56,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,150.0,-1.346300561685586,0.20454545454545456,0.1590909090909091
57,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",Adam,300.0,-0.11906803422410739,0.2727272727272727,0.22727272727272727
58,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.09822296074481585,0.20454545454545456,0.20454545454545456
59,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,-1.1470628702469061,0.2727272727272727,0.2727272727272727
60,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,150.0,-1.8174228219370012,0.1590909090909091,0.13636363636363635
61,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",Adam,300.0,-0.45344346279960035,0.20454545454545456,0.18181818181818182
62,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,150.0,-0.4690223642398863,0.20454545454545456,0.18181818181818182
63,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 10]",RMSprop,300.0,-0.951079984248722,0.18181818181818182,0.1590909090909091
64,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,150.0,-0.19667826746008887,0.18181818181818182,0.13636363636363635
65,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",Adam,300.0,-0.6621700235704956,0.1590909090909091,0.1590909090909091
66,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,150.0,-1.3505361241165876,0.11363636363636363,0.09090909090909091
67,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 10]",RMSprop,300.0,-0.41377212136977104,0.13636363636363635,0.11363636363636363
68,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,150.0,-2.0155204605848196,0.25,0.18181818181818182
69,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",Adam,300.0,0.1332204561626305,0.22727272727272727,0.18181818181818182
70,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,150.0,-0.5586886312901981,0.1590909090909091,0.09090909090909091
71,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 10]",RMSprop,300.0,-0.29183455743417985,0.20454545454545456,0.18181818181818182
72,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,150.0,-0.663660502383633,0.18181818181818182,0.13636363636363635
73,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",Adam,300.0,0.2597860073270016,0.2727272727272727,0.2727272727272727
74,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,150.0,-0.39976585213837723,0.20454545454545456,0.18181818181818182
75,3.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40]",RMSprop,300.0,-0.4339466950011872,0.20454545454545456,0.20454545454545456
76,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,150.0,0.36489091662705875,0.2727272727272727,0.2727272727272727
77,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",Adam,300.0,0.07133223449703469,0.3181818181818182,0.2727272727272727
78,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,150.0,-2.232729518177132,0.1590909090909091,0.13636363636363635
79,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40]",RMSprop,300.0,-0.21195708984193729,0.2727272727272727,0.22727272727272727
80,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,150.0,0.06798046749987902,0.18181818181818182,0.11363636363636363
81,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",Adam,300.0,-0.31009858107322674,0.25,0.25
82,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,150.0,-0.4684513937014586,0.29545454545454547,0.25
83,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 40]",RMSprop,300.0,0.30162638465195335,0.25,0.22727272727272727
84,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,150.0,0.13395167658719404,0.29545454545454547,0.25
85,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",Adam,300.0,0.449239738144115,0.38636363636363635,0.38636363636363635
86,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,150.0,0.26179379980920914,0.22727272727272727,0.20454545454545456
87,3.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70]",RMSprop,300.0,0.23725488075295298,0.1590909090909091,0.13636363636363635
88,3.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-0.04067278588250056,0.13636363636363635,0.13636363636363635
89,3.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",Adam,300.0,-0.08242139933634685,0.22727272727272727,0.18181818181818182
90,3.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,-1.2728895906054094,0.13636363636363635,0.13636363636363635
91,3.0,mse,"{0: 2, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,-1.017938211084077,0.2727272727272727,0.22727272727272727
92,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,-0.4933025310982907,0.1590909090909091,0.1590909090909091
93,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,-0.08585076549070131,0.2727272727272727,0.25
94,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.6196403843366326,0.22727272727272727,0.18181818181818182
95,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,-0.05147185661509285,0.29545454545454547,0.29545454545454547
96,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,0.1530918725592723,0.25,0.25
97,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,-0.30779886430055425,0.22727272727272727,0.18181818181818182
98,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.7982548969638746,0.29545454545454547,0.2727272727272727
99,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,-1.5664811177146072,0.20454545454545456,0.20454545454545456
100,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.26378699577009573,0.29545454545454547,0.25
101,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.1006847441399567,0.2727272727272727,0.22727272727272727
102,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.06443505686572831,0.3181818181818182,0.2727272727272727
103,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,-0.15171355983170975,0.22727272727272727,0.18181818181818182
104,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",Adam,150.0,-2.433246636055773,0.09090909090909091,0.09090909090909091
105,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",Adam,300.0,-1.0367029872861346,0.20454545454545456,0.18181818181818182
106,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,-1.6958794384870404,0.13636363636363635,0.13636363636363635
107,3.0,mse,"{0: 2, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,-1.4776125431978042,0.20454545454545456,0.1590909090909091
108,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,-0.5098294831622769,0.11363636363636363,0.11363636363636363
109,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,-0.056449566948266194,0.29545454545454547,0.25
110,3.0,mse,"{0: 2, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,-0.35481926813159703,0.25,0.25
