,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
1596,2.0,mae,"{0: 6, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.89,0.5681818181818182,0.52
544,1.0,mae,"{0: 2, 1: 1, 2: 1}","[70, 10]",Adam,150.0,0.89,0.5681818181818182,0.52
722,1.0,mae,"{0: 6, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,0.88,0.5909090909090909,0.55
146,3.0,mae,"{0: 6, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,0.88,0.5681818181818182,0.55
1598,2.0,mae,"{0: 6, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.88,0.5227272727272727,0.52
1341,2.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,0.87,0.5454545454545454,0.55
814,1.0,mae,"{0: 8, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.87,0.5227272727272727,0.52
731,1.0,mae,"{0: 6, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.87,0.5454545454545454,0.55
834,1.0,mae,"{0: 8, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.87,0.5454545454545454,0.52
643,1.0,mae,"{0: 4, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.86,0.5909090909090909,0.52
