,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,150.0,-0.814397382465347,0.22727272727272727,0.20454545454545456
1,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",Adam,300.0,0.16666106078498488,0.22727272727272727,0.18181818181818182
2,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,0.08053202738522158,0.25,0.13636363636363635
3,1.0,mse,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,-0.10766737303992413,0.1590909090909091,0.13636363636363635
4,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,150.0,-1.1605614616051367,0.13636363636363635,0.11363636363636363
5,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",Adam,300.0,-0.7031427275153568,0.13636363636363635,0.11363636363636363
6,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,0.38475205759800096,0.3181818181818182,0.2727272727272727
7,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,-0.42267995707225636,0.2727272727272727,0.18181818181818182
8,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,150.0,-0.2741992563326159,0.20454545454545456,0.20454545454545456
9,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",Adam,300.0,-0.4812300303361463,0.18181818181818182,0.18181818181818182
10,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.19297306768691658,0.18181818181818182,0.1590909090909091
11,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.10767069888325603,0.25,0.1590909090909091
12,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,150.0,0.36243735141094097,0.22727272727272727,0.18181818181818182
13,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",Adam,300.0,0.5515844630222208,0.3181818181818182,0.25
14,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.2547737872153467,0.29545454545454547,0.25
15,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.06457304241011153,0.22727272727272727,0.20454545454545456
16,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,150.0,0.03203721867004494,0.22727272727272727,0.18181818181818182
17,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",Adam,300.0,-0.5533969045959105,0.18181818181818182,0.11363636363636363
18,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,0.4469410990525878,0.2727272727272727,0.2727272727272727
19,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,0.030371740438472294,0.3409090909090909,0.3409090909090909
20,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,150.0,0.02900917007343551,0.1590909090909091,0.13636363636363635
21,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",Adam,300.0,-0.020069102093958846,0.25,0.25
22,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,-0.14993168574670612,0.20454545454545456,0.18181818181818182
23,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.6102644732974236,0.36363636363636365,0.3181818181818182
24,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,150.0,0.31904925429885056,0.25,0.18181818181818182
25,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",Adam,300.0,0.19089761691661095,0.29545454545454547,0.22727272727272727
26,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,-0.06201775574283275,0.2727272727272727,0.22727272727272727
27,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.05333829724286093,0.18181818181818182,0.11363636363636363
28,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,150.0,-0.0597507785640673,0.29545454545454547,0.2727272727272727
29,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",Adam,300.0,-0.0022253155289878035,0.25,0.20454545454545456
30,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,0.12899095291470825,0.29545454545454547,0.2727272727272727
31,1.0,mse,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,-0.4085991169785198,0.18181818181818182,0.18181818181818182
32,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,150.0,-0.02210793623729168,0.25,0.22727272727272727
33,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",Adam,300.0,0.16970361801488182,0.25,0.22727272727272727
34,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.20593796499924133,0.22727272727272727,0.20454545454545456
35,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,0.43209729459313445,0.3409090909090909,0.29545454545454547
36,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,150.0,-0.1835746416916283,0.2727272727272727,0.22727272727272727
37,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",Adam,300.0,0.319384849694288,0.3409090909090909,0.3181818181818182
38,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.6574177700159152,0.38636363636363635,0.3409090909090909
39,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.5183769335825368,0.25,0.25
40,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,150.0,0.056257594203877936,0.25,0.22727272727272727
41,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",Adam,300.0,0.5688660981371565,0.2727272727272727,0.18181818181818182
42,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.3242239628130663,0.2727272727272727,0.25
43,1.0,mse,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,-0.30395246696220013,0.29545454545454547,0.25
44,1.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,150.0,-2.529742937609263,0.18181818181818182,0.06818181818181818
45,1.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",Adam,300.0,0.36997156414428267,0.25,0.22727272727272727
46,1.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,-4.078453589211006,0.13636363636363635,0.06818181818181818
47,1.0,mse,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,0.36433967154226404,0.3181818181818182,0.29545454545454547
48,1.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,150.0,-0.1389140037459612,0.22727272727272727,0.11363636363636363
49,1.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",Adam,300.0,-0.00849211045321785,0.2727272727272727,0.25
50,1.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.3683301892386698,0.29545454545454547,0.25
51,1.0,mse,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,-0.15835627483731995,0.1590909090909091,0.11363636363636363
52,1.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,150.0,-0.12217359777658021,0.25,0.25
53,1.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",Adam,300.0,0.287647082170221,0.4090909090909091,0.38636363636363635
54,1.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.741355197793283,0.1590909090909091,0.1590909090909091
55,1.0,mse,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,-1.3645637442210108,0.20454545454545456,0.1590909090909091
