,argu,loss_fun,class_weight,nl,opt,epochs,Rsquare_median,R_greater_80,R_greater_85
0,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,150.0,0.3966191975778292,0.4090909090909091,0.3181818181818182
1,3.0,mae,"{0: 1, 1: 1, 2: 1}","[40, 10]",RMSprop,300.0,0.4771992547416819,0.3409090909090909,0.3181818181818182
2,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.10961979141271078,0.18181818181818182,0.13636363636363635
3,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40, 10]",RMSprop,300.0,0.6009755153440575,0.3181818181818182,0.2727272727272727
4,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,0.5754335271842723,0.36363636363636365,0.36363636363636365
5,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,0.5192801681001461,0.3409090909090909,0.3409090909090909
6,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,150.0,-0.3906970865230398,0.25,0.1590909090909091
7,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40, 10]",RMSprop,300.0,0.5419463794197035,0.3409090909090909,0.3181818181818182
8,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,150.0,0.5906367092332004,0.3181818181818182,0.25
9,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 10]",RMSprop,300.0,0.6157350125489844,0.36363636363636365,0.3181818181818182
10,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,150.0,0.09725466727681337,0.3409090909090909,0.29545454545454547
11,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 10]",RMSprop,300.0,0.6141970815374167,0.29545454545454547,0.2727272727272727
12,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,150.0,-0.2747783023753213,0.20454545454545456,0.18181818181818182
13,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 10]",RMSprop,300.0,0.12065274441707396,0.38636363636363635,0.3181818181818182
14,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,150.0,0.47243656784044624,0.3181818181818182,0.2727272727272727
15,3.0,mae,"{0: 1, 1: 1, 2: 1}","[70, 40]",RMSprop,300.0,0.4649169050936364,0.38636363636363635,0.3181818181818182
16,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,150.0,0.48117560123656644,0.36363636363636365,0.3181818181818182
17,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70, 40]",RMSprop,300.0,-0.030405729760456524,0.29545454545454547,0.25
18,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,150.0,0.4143944111339816,0.25,0.22727272727272727
19,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 40]",RMSprop,300.0,0.5914232027893238,0.4318181818181818,0.29545454545454547
20,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,150.0,0.32259949116371667,0.3409090909090909,0.3409090909090909
21,3.0,mae,"{0: 1, 1: 1, 2: 1}","[100, 70]",RMSprop,300.0,0.4306312335354696,0.36363636363636365,0.36363636363636365
22,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,150.0,0.6949260476328177,0.45454545454545453,0.36363636363636365
23,3.0,mae,"{0: 1, 1: 3, 2: 1}","[40, 10]",RMSprop,300.0,-0.042958466791073735,0.20454545454545456,0.20454545454545456
24,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,150.0,-0.033700784763137204,0.18181818181818182,0.18181818181818182
25,3.0,mae,"{0: 1, 1: 3, 2: 1}","[70, 40, 10]",RMSprop,300.0,-0.29778200381031217,0.25,0.22727272727272727
26,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,150.0,-0.20385409908935948,0.22727272727272727,0.18181818181818182
27,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 70, 40, 10]",RMSprop,300.0,-1.8739022026838514,0.22727272727272727,0.18181818181818182
28,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,150.0,0.5480352796996109,0.36363636363636365,0.29545454545454547
29,3.0,mae,"{0: 1, 1: 3, 2: 1}","[100, 40, 10]",RMSprop,300.0,-0.19278087588729131,0.13636363636363635,0.13636363636363635
